model,mode,arm,chunk_id,ppl,kl,flip
Llama-3.3-70B-Instruct,scale,acc_fp8 body,21,5.400681,0.040555,0.083008
Llama-3.3-70B-Instruct,scale,acc_fp8 body,22,10.577304,0.039556,0.081055
Llama-3.3-70B-Instruct,scale,acc_fp8 body,23,2.801959,0.268482,0.159180
Llama-3.3-70B-Instruct,scale,acc_fp8 body,24,5.146725,0.199025,0.158203
Llama-3.3-70B-Instruct,scale,acc_fp8 body,25,7.094176,0.054849,0.094727
Llama-3.3-70B-Instruct,scale,acc_fp8 body,26,8.248795,0.056155,0.111328
Llama-3.3-70B-Instruct,scale,acc_fp8 body,27,6.552400,0.049120,0.089844
Llama-3.3-70B-Instruct,scale,acc_fp8 body,28,5.858516,0.057877,0.094727
Llama-3.3-70B-Instruct,scale,acc_fp8 body,29,6.980514,0.073322,0.104492
Llama-3.3-70B-Instruct,scale,acc_fp8 body,30,7.941433,0.076898,0.113281
Llama-3.3-70B-Instruct,scale,acc_fp8 body,31,8.086545,0.062092,0.094727
